t, Logic, dt
0.00000, 0, 0.00000
0.00900, 1, 0.00900
0.01348, 0, 0.00448
0.01408, 1, 0.00060
0.01464, 0, 0.00056
0.01520, 1, 0.00056
0.01684, 0, 0.00164
0.01744, 1, 0.00060
0.01800, 0, 0.00056
0.01856, 1, 0.00056
0.01912, 0, 0.00056
0.01968, 1, 0.00056
0.02024, 0, 0.00056
0.02080, 1, 0.00056
0.02136, 0, 0.00056
0.02192, 1, 0.00056
0.02248, 0, 0.00056
0.02304, 1, 0.00056
0.02360, 0, 0.00056
0.02416, 1, 0.00056
0.02584, 0, 0.00168
0.02640, 1, 0.00056
0.02696, 0, 0.00056
0.02752, 1, 0.00056
0.02920, 0, 0.00168
0.02976, 1, 0.00056
0.03144, 0, 0.00168
0.03200, 1, 0.00056
0.03364, 0, 0.00164
0.03424, 1, 0.00060
0.03592, 0, 0.00168
0.03648, 1, 0.00056
0.03816, 0, 0.00168
0.03876, 1, 0.00060
0.03932, 0, 0.00056
0.03984, 1, 0.00052
0.04152, 0, 0.00168
0.04212, 1, 0.00060
0.04268, 0, 0.00056
0.04320, 1, 0.00052
0.04488, 0, 0.00168
0.04548, 1, 0.00060
0.04712, 0, 0.00164
0.04772, 1, 0.00060
0.04828, 0, 0.00056
0.04884, 1, 0.00056
0.04940, 0, 0.00056
0.04996, 1, 0.00056
0.05160, 0, 0.00164
0.05220, 1, 0.00060
0.05276, 0, 0.00056
0.05332, 1, 0.00056
0.05388, 0, 0.00056
0.05444, 1, 0.00056
0.05612, 0, 0.00168
0.05668, 1, 0.00056
0.05720, 0, 0.00052
0.05780, 1, 0.00060
0.05836, 0, 0.00056
0.05892, 1, 0.00056
0.06056, 0, 0.00164
0.06116, 1, 0.00060
0.06284, 0, 0.00168
0.06340, 1, 0.00056
0.06392, 0, 0.00052
0.06452, 1, 0.00060
0.06620, 0, 0.00168
0.06676, 1, 0.00056
0.10768, 0, 0.04092
0.11668, 1, 0.00900
0.11888, 0, 0.00220
0.11948, 1, 0.00060
