t, Logic, dt
0.00002, 0, 0.00000
0.00900, 1, 0.00898
0.01346, 0, 0.00446
0.01406, 1, 0.00060
0.01460, 0, 0.00054
0.01518, 1, 0.00058
0.01682, 0, 0.00164
0.01742, 1, 0.00060
0.01794, 0, 0.00052
0.01854, 1, 0.00060
0.01910, 0, 0.00056
0.01964, 1, 0.00054
0.02020, 0, 0.00056
0.02078, 1, 0.00058
0.02134, 0, 0.00056
0.02190, 1, 0.00056
0.02246, 0, 0.00056
0.02302, 1, 0.00056
0.02358, 0, 0.00056
0.02414, 1, 0.00056
0.02580, 0, 0.00166
0.02638, 1, 0.00058
0.02690, 0, 0.00052
0.02750, 1, 0.00060
0.02916, 0, 0.00166
0.02974, 1, 0.00058
0.03140, 0, 0.00166
0.03200, 1, 0.00060
0.03364, 0, 0.00164
0.03424, 1, 0.00060
0.03590, 0, 0.00166
0.03648, 1, 0.00058
0.03814, 0, 0.00166
0.03872, 1, 0.00058
0.03928, 0, 0.00056
0.03984, 1, 0.00056
0.04040, 0, 0.00056
0.04096, 1, 0.00056
0.04152, 0, 0.00056
0.04208, 1, 0.00056
0.04266, 0, 0.00058
0.04320, 1, 0.00054
0.04486, 0, 0.00166
0.04546, 1, 0.00060
0.04600, 0, 0.00054
0.04656, 1, 0.00056
0.04712, 0, 0.00056
0.04770, 1, 0.00058
0.04936, 0, 0.00166
0.04994, 1, 0.00058
0.05046, 0, 0.00052
0.05106, 1, 0.00060
0.05272, 0, 0.00166
0.05328, 1, 0.00056
0.05496, 0, 0.00168
0.05554, 1, 0.00058
0.05718, 0, 0.00164
0.05778, 1, 0.00060
0.05832, 0, 0.00054
0.05892, 1, 0.00060
0.06056, 0, 0.00164
0.06116, 1, 0.00060
0.06282, 0, 0.00166
0.06338, 1, 0.00056
0.06392, 0, 0.00054
0.06452, 1, 0.00060
0.06618, 0, 0.00166
0.06674, 1, 0.00056
0.10766, 0, 0.04092
0.11666, 1, 0.00900
0.11888, 0, 0.00222
0.11948, 1, 0.00060
